acc_cell_type,f1_cell_type,dataset,n_cells,n_cell_types,model
0.7773768305778503,0.7816821932792664,Brain,10,5,scDiff-LLM
0.729235053062439,0.7395962476730347,Brain,10,5,scDiff-Embedding
0.9472480416297911,0.9521993398666382,Liver,10,5,scDiff-LLM
0.9476096630096436,0.9344816207885742,Immune,10,5,scDiff-LLM
0.959548830986023,0.9635536670684814,Liver,10,5,scDiff-Embedding
0.917589545249939,0.9046069383621216,Immune,10,5,scDiff-Embedding
0.8542819023132324,0.8489140272140503,HLCA,10,5,scDiff-LLM
0.857917070388794,0.8512042760848999,HLCA,10,5,scDiff-Embedding
0.7540081739425659,0.7558848261833191,Brain,10,5,scDiff-Embedding
0.7841765284538269,0.7817515730857849,Brain,10,5,scDiff-LLM
0.9547187089920044,0.9478914737701416,Immune,10,5,scDiff-LLM
0.921975076198578,0.9125922918319702,Immune,10,5,scDiff-Embedding
0.9620625376701356,0.9644041061401368,Liver,10,5,scDiff-LLM
0.9593576788902284,0.9635246992111206,Liver,10,5,scDiff-Embedding
0.8550448417663574,0.8518933653831482,HLCA,10,5,scDiff-LLM
0.8559403419494629,0.8497382402420044,HLCA,10,5,scDiff-Embedding
0.7354795932769775,0.7437394857406616,Brain,10,5,scDiff-Embedding
0.7580709457397461,0.7663838863372803,Brain,10,5,scDiff-LLM
0.917382836341858,0.9139771461486816,Immune,10,5,scDiff-Embedding
0.9577236175537108,0.9504706859588624,Immune,10,5,scDiff-LLM
0.9730679988861084,0.9726898670196532,Liver,10,5,scDiff-Embedding
0.9634889960289,0.9667898416519164,Liver,10,5,scDiff-LLM
0.9051114916801452,0.8972840309143066,HLCA,9,5,scDiff-Embedding
0.9020930528640748,0.8995363712310791,HLCA,9,5,scDiff-LLM
0.693549633026123,0.7038697004318237,Brain,9,5,scDiff-Embedding
0.7909726500511169,0.7860463857650757,Brain,9,5,scDiff-LLM
0.9216092228889464,0.9165376424789428,Immune,9,5,scDiff-Embedding
0.9539709687232972,0.9483240842819214,Immune,9,5,scDiff-LLM
0.9751075506210328,0.9735113382339478,Liver,9,5,scDiff-Embedding
0.9607353806495668,0.9645084142684937,Liver,9,5,scDiff-LLM
0.9048112630844116,0.8963884115219116,HLCA,9,5,scDiff-LLM
0.7708021402359009,0.7516037225723267,Brain,9,5,scDiff-LLM
0.9041964411735536,0.8987671136856079,HLCA,9,5,scDiff-Embedding
0.669019877910614,0.6685320138931274,Brain,9,5,scDiff-Embedding
0.960034191608429,0.9524922966957092,Immune,9,5,scDiff-LLM
0.9718394875526428,0.9718276262283324,Liver,9,5,scDiff-Embedding
0.9191186428070068,0.9094587564468384,Immune,9,5,scDiff-Embedding
0.9621953964233398,0.9644781947135924,Liver,9,5,scDiff-LLM
0.8958979249000549,0.8902788162231445,HLCA,9,5,scDiff-LLM
0.899101734161377,0.8916391134262085,HLCA,9,5,scDiff-Embedding
0.6702344417572021,0.6764602661132812,Brain,9,5,scDiff-Embedding
0.7897531390190125,0.7788451313972473,Brain,9,5,scDiff-LLM
0.9684301614761353,0.9692872762680054,Liver,9,5,scDiff-Embedding
0.9147667288780212,0.9089898467063904,Immune,9,5,scDiff-Embedding
0.955194056034088,0.9464066028594972,Immune,9,5,scDiff-LLM
